Flight Number,Actual,Prediction,Prediction Percentage,Date
1,1,delayed,0.98916596,2024-05-16
1,0,not delayed,0.036007877,2024-05-15
1,1,delayed,0.98832446,2024-05-17
1,1,delayed,0.98801917,2024-05-18
1,1,not delayed,0.250296,2024-05-19
10,0,not delayed,0.06975525,2024-05-15
10,0,not delayed,0.029975362,2024-05-17
10,0,not delayed,0.031164076,2024-05-16
10,0,delayed,0.9568576,2024-05-18
10,0,not delayed,0.032714285,2024-05-19
100,0,not delayed,0.032479186,2024-05-19
100,1,delayed,0.98857474,2024-05-16
100,0,not delayed,0.030236999,2024-05-17
100,1,not delayed,0.17247772,2024-05-18
100,0,not delayed,0.031431362,2024-05-15
1000,1,delayed,0.99694574,2024-05-19
1000,1,delayed,0.9319419,2024-05-18
1000,1,delayed,0.9891693,2024-05-15
1000,1,delayed,0.9891745,2024-05-16
1000,0,not delayed,0.06511663,2024-05-17
1001,0,not delayed,0.07179795,2024-05-18
1001,1,delayed,0.9964433,2024-05-19
1001,1,delayed,0.99049824,2024-05-15
1001,1,delayed,0.93881977,2024-05-17
1001,0,not delayed,0.04671865,2024-05-16
1002,1,not delayed,0.102881424,2024-05-15
1002,0,not delayed,0.13300426,2024-05-19
1002,0,not delayed,0.036866825,2024-05-18
1002,1,delayed,0.9891752,2024-05-16
1002,1,delayed,0.99689895,2024-05-17
1003,0,not delayed,0.031573202,2024-05-17
1003,0,not delayed,0.04749632,2024-05-18
1003,0,not delayed,0.032277517,2024-05-16
1003,1,delayed,0.98917526,2024-05-19
1003,1,delayed,0.56665385,2024-05-15
1004,0,not delayed,0.043034486,2024-05-16
1004,1,delayed,0.9786754,2024-05-18
1004,1,delayed,0.98917526,2024-05-17
1004,0,not delayed,0.04864952,2024-05-15
1004,0,not delayed,0.0535541,2024-05-19
1005,0,not delayed,0.048174333,2024-05-17
1005,1,not delayed,0.032854244,2024-05-15
1005,1,delayed,0.9964313,2024-05-16
1005,1,delayed,0.98907,2024-05-18
1005,1,delayed,0.9889971,2024-05-19
1006,1,delayed,0.9888765,2024-05-15
1006,0,not delayed,0.031235326,2024-05-16
1006,0,not delayed,0.05492618,2024-05-17
1006,0,not delayed,0.033241615,2024-05-18
1006,0,not delayed,0.033079777,2024-05-19
1007,1,delayed,0.9956658,2024-05-15
1007,0,not delayed,0.031166844,2024-05-19
1007,1,delayed,0.98850286,2024-05-18
1007,0,not delayed,0.033824295,2024-05-17
1007,0,not delayed,0.030531595,2024-05-16
1008,0,not delayed,0.05013014,2024-05-15
1008,1,delayed,0.9888509,2024-05-19
1008,1,delayed,0.86132073,2024-05-16
1008,0,not delayed,0.038982045,2024-05-17
1008,0,not delayed,0.04986118,2024-05-18
1009,0,not delayed,0.030339409,2024-05-16
1009,0,not delayed,0.029982006,2024-05-18
1009,1,delayed,0.9275192,2024-05-19
1009,0,not delayed,0.029993553,2024-05-15
1009,1,delayed,0.77612466,2024-05-17
101,1,delayed,0.9944927,2024-05-15
101,1,delayed,0.98917454,2024-05-18
101,0,not delayed,0.03491007,2024-05-16
101,1,delayed,0.9965717,2024-05-17
101,1,delayed,0.89103484,2024-05-19
1010,1,delayed,0.995229,2024-05-17
1010,0,not delayed,0.22000031,2024-05-18
1010,0,not delayed,0.033315618,2024-05-19
1010,1,delayed,0.996766,2024-05-16
1010,0,not delayed,0.030406045,2024-05-15
1011,0,not delayed,0.046811137,2024-05-18
1011,0,not delayed,0.057981722,2024-05-16
1011,1,delayed,0.9956663,2024-05-19
1011,0,not delayed,0.06951481,2024-05-17
1011,0,not delayed,0.037139017,2024-05-15
1012,1,delayed,0.9888767,2024-05-17
1012,1,delayed,0.92330337,2024-05-15
1012,0,not delayed,0.031173833,2024-05-19
1012,1,delayed,0.8168734,2024-05-18
1012,1,delayed,0.98833424,2024-05-16
1013,1,delayed,0.9883255,2024-05-18
1013,0,not delayed,0.039195627,2024-05-19
1013,0,not delayed,0.030164195,2024-05-16
1013,0,not delayed,0.029947113,2024-05-15
1013,1,delayed,0.85613817,2024-05-17
1014,0,not delayed,0.048875708,2024-05-19
1014,1,delayed,0.9555235,2024-05-17
1014,1,not delayed,0.066707164,2024-05-18
1014,0,not delayed,0.080078945,2024-05-16
1014,1,delayed,0.98917526,2024-05-15
1015,1,delayed,0.9956658,2024-05-16
1015,0,not delayed,0.034019038,2024-05-19
1015,0,not delayed,0.063176766,2024-05-18
1015,1,delayed,0.9783908,2024-05-15
1015,0,not delayed,0.03096662,2024-05-17
1016,0,not delayed,0.04869697,2024-05-16
1016,0,not delayed,0.03314861,2024-05-17
1016,0,not delayed,0.06058374,2024-05-19
1016,0,not delayed,0.052604303,2024-05-18
1016,1,delayed,0.98917526,2024-05-15
1017,0,not delayed,0.032294538,2024-05-16
1017,1,not delayed,0.03384494,2024-05-15
1017,0,not delayed,0.031628244,2024-05-19
1017,1,delayed,0.96692324,2024-05-17
1017,0,not delayed,0.16366702,2024-05-18
1018,0,not delayed,0.030864239,2024-05-15
1018,1,delayed,0.98917526,2024-05-17
1018,0,not delayed,0.039083503,2024-05-16
1018,1,delayed,0.9969453,2024-05-19
1018,0,not delayed,0.059419107,2024-05-18
1019,0,not delayed,0.12528858,2024-05-19
1019,1,delayed,0.98145837,2024-05-16
1019,1,delayed,0.9891748,2024-05-18
1019,1,delayed,0.9665751,2024-05-15
1019,1,delayed,0.8222758,2024-05-17
102,0,not delayed,0.034067187,2024-05-19
102,0,not delayed,0.06301626,2024-05-18
102,0,not delayed,0.12225607,2024-05-15
102,0,not delayed,0.030319048,2024-05-17
102,0,not delayed,0.031156128,2024-05-16
